# Program:featureCounts v2.0.6; Command:"./bin/featureCounts" "-a" "PlasmoDB-65_Pfalciparum3D7.gff" "-o" "test3" "-p" "-B" "-C" "/depot/heqixin/data/Pf_282samples_bam_BQSR/Sample5027250_recal_realn.bam" 
Geneid	Chr	Start	End	Strand	Length	/depot/heqixin/data/Pf_282samples_bam_BQSR/Sample5027250_recal_realn.bam
PF3D7_0628500	Pf3D7_06_v3	1178630	1180100	-	1471	5136
PF3D7_0628600	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	1180102;1180787;1180999;1181344;1182204	1180644;1180850;1181171;1182042;1182381	-;-;-;-;-	1657	5289
PF3D7_0628700	Pf3D7_06_v3	1183134	1185887	+	2754	4544
PF3D7_0628800	Pf3D7_06_v3	1184868	1189014	-	4147	39415
PF3D7_0628900	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	1189472;1193615;1193760	1193530;1193665;1193978	+;+;+	4329	15648
PF3D7_0629000	Pf3D7_06_v3	1194304	1195217	-	914	2133
PF3D7_0629100	Pf3D7_06_v3	1195429	1198332	-	2904	15667
PF3D7_0629200	Pf3D7_06_v3	1198354	1202056	-	3703	6646
PF3D7_0629300	Pf3D7_06_v3	1204859	1208175	+	3317	52849
PF3D7_0629400	Pf3D7_06_v3	1209083	1213867	+	4785	17236
PF3D7_0629500	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	1213102;1214330;1216269	1214092;1216024;1217313	-;-;-	3731	15156
PF3D7_0629600	Pf3D7_06_v3;Pf3D7_06_v3	1217321;1218547	1218381;1219766	+;+	2281	3781
PF3D7_0629700	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	1221309;1241748;1241983;1242299;1242613;1242848	1241571;1241862;1242144;1242469;1242720;1243267	+;+;+;+;+;+	21239	110780
PF3D7_0629800	Pf3D7_06_v3;Pf3D7_06_v3	1243321;1247168	1246917;1247814	-;-	4244	21769
PF3D7_0629900	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	1248188;1251198;1251469	1251056;1251356;1251651	+;+;+	3211	6135
PF3D7_0630000	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	1252052;1252270;1252542;1252763;1252975;1253160;1253334;1253459;1253601;1253864	1252182;1252348;1252618;1252851;1253035;1253206;1253373;1253519;1253736;1253985	-;-;-;-;-;-;-;-;-;-	843	4695
PF3D7_0630100	Pf3D7_06_v3	1254330	1256987	-	2658	11699
PF3D7_0630200	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	1258880;1259119;1259283;1259557;1259902	1258972;1259181;1259422;1259630;1259939	+;+;+;+;+	408	2619
PF3D7_0630300	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	1260163;1260774;1267051;1269389	1260601;1266852;1269283;1270722	-;-;-;-	10085	51944
PF3D7_0630400	Pf3D7_06_v3	1271808	1274009	-	2202	5278
PF3D7_0630500	Pf3D7_06_v3	1275505	1278363	+	2859	6152
PF3D7_0630600	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	1279742;1280391;1283243	1279927;1283086;1283475	+;+;+	3115	13866
PF3D7_0630700	Pf3D7_06_v3	1284439	1287109	+	2671	8386
PF3D7_0630800	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	1288066;1288444;1288709;1288878;1289158;1289440;1289718;1289889;1290156;1290433;1290674	1288332;1288509;1288780;1288963;1289320;1289605;1289760;1290050;1290261;1290516;1290942	+;+;+;+;+;+;+;+;+;+;+	1484	4000
PF3D7_0630900	Pf3D7_06_v3;Pf3D7_06_v3	1290623;1291311	1291178;1293448	-;-	2694	13756
PF3D7_0631000	Pf3D7_06_v3	1293965	1296496	+	2532	6109
PF3D7_0631100	Pf3D7_06_v3;Pf3D7_06_v3	1297376;1298057	1297968;1300414	+;+	2951	14579
PF3D7_0631200	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	1313808;1313894;1314034;1314122;1314307;1314446;1314762;1315198	1313891;1314031;1314120;1314304;1314444;1314760;1315196;1315236	-;-;-;-;-;-;-;-	1419	40701
PF3D7_0631300	Pf3D7_06_v3	1316873	1317721	+	849	22985
PF3D7_0631400	Pf3D7_06_v3;Pf3D7_06_v3	1318327;1319048	1318953;1319116	-;-	696	11716
PF3D7_0631500	Pf3D7_06_v3;Pf3D7_06_v3	1321320;1322026	1321943;1322094	-;-	693	12266
PF3D7_0631600	Pf3D7_06_v3;Pf3D7_06_v3	1323294;1323575	1323362;1324435	+;+	930	14981
PF3D7_0631700	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	1326737;1326907;1327869	1326808;1327867;1327918	+;+;+	1083	23056
PF3D7_0631800	Pf3D7_06_v3;Pf3D7_06_v3	1329771;1329989	1329824;1330963	+;+	1029	14988
PF3D7_0631900	Pf3D7_06_v3;Pf3D7_06_v3	1333013;1333193	1333081;1334035	+;+	912	5519
PF3D7_0632000	Pf3D7_06_v3;Pf3D7_06_v3	1336146;1336415	1336199;1337473	+;+	1113	20515
PF3D7_0632100	Pf3D7_06_v3;Pf3D7_06_v3	1338218;1339364	1339135;1339417	-;-	972	10962
PF3D7_0632200	Pf3D7_06_v3;Pf3D7_06_v3	1341307;1342542	1342386;1342595	-;-	1134	29077
PF3D7_0632250	Pf3D7_06_v3	1345452	1345655	+	204	828
PF3D7_0632300	Pf3D7_06_v3;Pf3D7_06_v3	1347341;1347561	1347409;1348571	+;+	1080	32911
PF3D7_0632400	Pf3D7_06_v3;Pf3D7_06_v3	1350724;1351008	1350777;1352087	+;+	1134	29755
PF3D7_0632500	Pf3D7_06_v3;Pf3D7_06_v3	1353946;1356045	1355424;1366430	-;-	11865	253556
PF3D7_0632600	Pf3D7_06_v3;Pf3D7_06_v3	1367912;1368127	1367980;1369107	+;+	1050	63684
PF3D7_0632700	Pf3D7_06_v3;Pf3D7_06_v3	1371501;1371785	1371554;1372861	+;+	1131	40936
PF3D7_0632800	Pf3D7_06_v3;Pf3D7_06_v3	1374797;1377351	1376236;1382627	-;-	6717	239152
PF3D7_0700100	Pf3D7_07_v3;Pf3D7_07_v3	20307;26746	25829;28083	+;+	6861	210688
PF3D7_0700200	Pf3D7_07_v3;Pf3D7_07_v3	30097;30352	30150;31269	+;+	972	21622
PF3D7_0700300	Pf3D7_07_v3;Pf3D7_07_v3	33585;34736	34466;34804	-;-	951	14676
PF3D7_0700400	Pf3D7_07_v3;Pf3D7_07_v3	36922;37859	37755;37927	-;-	903	12490
PF3D7_0700500	Pf3D7_07_v3;Pf3D7_07_v3	40288;41382	41289;41453	-;-	1074	8890
PF3D7_0700600	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	43192;43995;44061	43917;44058;44140	-;-;-	870	1771
PF3D7_0700700	Pf3D7_07_v3;Pf3D7_07_v3	45559;45813	45627;46607	+;+	864	2736
PF3D7_0700800	Pf3D7_07_v3;Pf3D7_07_v3	47992;48480	48368;49535	+;+	1433	617
PF3D7_0700900	Pf3D7_07_v3;Pf3D7_07_v3	49779;50104	50102;50832	-;-	1053	2378
PF3D7_0701000	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	52086;52487;52977	52484;52975;53636	+;+;+	1548	105646
PF3D7_0701100	Pf3D7_07_v3;Pf3D7_07_v3	55562;56728	56497;56781	-;-	990	33308
PF3D7_0701200	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	59277;60007;60313	60004;60148;60366	-;-;-	924	21096
PF3D7_0701300	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	62220;62264;63330	62262;63231;63401	-;-;-	1083	22971
PF3D7_0701400	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	65718;66375;66786	66373;66576;66854	-;-;-	927	28082
PF3D7_0701500	Pf3D7_07_v3;Pf3D7_07_v3	68066;68217	68134;68840	+;+	693	17872
PF3D7_0701600	Pf3D7_07_v3;Pf3D7_07_v3	70781;71222	71117;72205	+;+	1321	10889
PF3D7_0701700	Pf3D7_07_v3	72477	73325	-	849	21568
PF3D7_0701800	Pf3D7_07_v3;Pf3D7_07_v3	75918;76987	76844;77055	-;-	996	3194
PF3D7_0701900	Pf3D7_07_v3;Pf3D7_07_v3	79450;82830	82670;83835	-;-	4227	29784
PF3D7_0702000	Pf3D7_07_v3;Pf3D7_07_v3	83838;84991	84850;86436	+;+	2459	3303
PF3D7_0702100	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	88685;89056;89949	88870;89947;90886	+;+;+	2016	9231
PF3D7_0702200	Pf3D7_07_v3	91731	95602	-	3872	9523
PF3D7_0702300	Pf3D7_07_v3;Pf3D7_07_v3	95444;97018	96832;99176	+;+	3548	7892
PF3D7_0702400	Pf3D7_07_v3;Pf3D7_07_v3	100338;102202	101981;103399	+;+	2842	4042
PF3D7_0702500	Pf3D7_07_v3;Pf3D7_07_v3	104012;105813	105541;106731	-;-	2449	7467
PF3D7_0702600	Pf3D7_07_v3	109915	110178	+	264	1741
PF3D7_0702700	Pf3D7_07_v3	111473	111545	-	73	64
PF3D7_0702800	Pf3D7_07_v3	112049	112132	+	84	780
PF3D7_0702900	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	112576;113333;113664;113877	113184;113434;113772;114405	-;-;-;-	1349	1651
PF3D7_0703000	Pf3D7_07_v3	115122	120892	+	5771	19131
PF3D7_0703100	Pf3D7_07_v3	121061	122407	+	1347	1012
PF3D7_0703200	Pf3D7_07_v3	122013	127441	-	5429	45341
PF3D7_0703300	Pf3D7_07_v3	128111	129083	+	973	5160
PF3D7_0703400	Pf3D7_07_v3	129160	132186	-	3027	14680
PF3D7_0703500	Pf3D7_07_v3	133470	143247	+	9778	50313
PF3D7_0703600	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	143601;144107;144379;144583;144861;145046;145253;145470;145723;145867	144022;144171;144456;144672;144955;145138;145319;145606;145795;146565	+;+;+;+;+;+;+;+;+;+	1819	2279
PF3D7_0703700	Pf3D7_07_v3	146573	148237	-	1665	4658
PF3D7_0703800	Pf3D7_07_v3	149804	152980	+	3177	23559
PF3D7_0703900	Pf3D7_07_v3	153119	167024	-	13906	69265
PF3D7_0704000	Pf3D7_07_v3	167240	177537	-	10298	42659
PF3D7_0704100	Pf3D7_07_v3	179797	191155	+	11359	44439
PF3D7_0704200	Pf3D7_07_v3	190990	195252	-	4263	20510
PF3D7_0704300	Pf3D7_07_v3	196266	203802	+	7537	54343
PF3D7_0704400	Pf3D7_07_v3	204333	208447	+	4115	15620
PF3D7_0704500	Pf3D7_07_v3	207891	213784	-	5894	22779
PF3D7_0704600	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	214949;216364;216671;216904;217242;217477;217885;228992	216049;216500;216805;217064;217363;217573;228807;230713	-;-;-;-;-;-;-;-	14398	83712
PF3D7_0704700	Pf3D7_07_v3	232362	237763	+	5402	10640
PF3D7_0704800	Pf3D7_07_v3	237810	242106	-	4297	36100
PF3D7_0704900	Pf3D7_07_v3	243898	245016	-	1119	7632
PF3D7_0705000	Pf3D7_07_v3;Pf3D7_07_v3	245497;247062	246809;250602	-;-	4854	30604
PF3D7_0705100	Pf3D7_07_v3	251976	255484	+	3509	11563
PF3D7_0705200	Pf3D7_07_v3	255871	260931	+	5061	10423
PF3D7_0705300	Pf3D7_07_v3	261340	264630	+	3291	11937
PF3D7_0705400	Pf3D7_07_v3	264682	267876	-	3195	34451
PF3D7_0705500	Pf3D7_07_v3;Pf3D7_07_v3	269635;270875	270634;280332	-;-	10458	68867
PF3D7_0705600	Pf3D7_07_v3	280570	284888	-	4319	19023
PF3D7_0705700	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	285012;285630;286111	285480;285729;286963	-;-;-	1422	1719
PF3D7_0705800	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	287597;287772;287913;288084;288341;288671;288831;289005	287677;287803;287991;288145;288476;288713;288895;289088	-;-;-;-;-;-;-;-	582	1313
PF3D7_0705900	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	289460;290234;290517;290984	290143;290354;290615;291545	-;-;-;-	1466	3023
PF3D7_0706000	Pf3D7_07_v3	292228	297493	+	5266	14841
PF3D7_0706100	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	297233;297600;297825;298016;298181;298393;298844;301324;302333	297518;297667;297920;298070;298280;298723;301231;302135;303776	-;-;-;-;-;-;-;-;-	5580	18361
PF3D7_0706200	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	303964;304504;304668	304387;304576;305242	+;+;+	1072	1220
PF3D7_0706300	Pf3D7_07_v3;Pf3D7_07_v3	305264;305991	305877;306466	+;+	1090	834
PF3D7_0706400	Pf3D7_07_v3	306475	308427	-	1953	1542
PF3D7_0706500	Pf3D7_07_v3	309725	316861	-	7137	27437
PF3D7_0706600	Pf3D7_07_v3	319757	322639	+	2883	6636
PF3D7_0706700	Pf3D7_07_v3	322907	325528	+	2622	13173
PF3D7_0706800	Pf3D7_07_v3	326072	326144	+	73	252
PF3D7_0706900	Pf3D7_07_v3	326726	326797	-	72	541
PF3D7_0707000	Pf3D7_07_v3	327865	327937	+	73	158
PF3D7_0707100	Pf3D7_07_v3	329012	329084	-	73	269
PF3D7_0707200	Pf3D7_07_v3	329719	336587	-	6869	37175
PF3D7_0707300	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	337720;339090;341572;341735;341995	338978;341393;341625;341779;343059	+;+;+;+;+	4727	13919
PF3D7_0707400	Pf3D7_07_v3	343620	346688	+	3069	8881
PF3D7_0707420	Pf3D7_07_v3	383172	383519	+	348	1170
PF3D7_0707500	Pf3D7_07_v3	347664	353625	+	5962	12060
PF3D7_0707600	Pf3D7_07_v3	353757	355465	+	1709	2535
PF3D7_0707700	Pf3D7_07_v3;Pf3D7_07_v3	356174;357378	356762;360641	+;+	3853	24056
PF3D7_0707800	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	360813;365545;365707	365423;365604;365795	+;+;+	4760	14595
PF3D7_0707900	Pf3D7_07_v3	366092	368080	+	1989	8088
PF3D7_0708000	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	368274;368618;371205;371574	368479;371011;371407;372081	+;+;+;+	3311	11990
PF3D7_0708100	Pf3D7_07_v3	372302	373569	-	1268	2560
PF3D7_0708200	Pf3D7_07_v3;Pf3D7_07_v3	374243;375336	375049;377393	-;-	2865	12779
PF3D7_0708300	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	377674;378226;378822;379087;379268	378051;378714;378890;379159;379642	+;+;+;+;+	1384	3712
PF3D7_0708400	Pf3D7_07_v3;Pf3D7_07_v3	380449;383808	383022;385546	+;+	4313	17570
PF3D7_0708500	Pf3D7_07_v3	385186	388646	-	3461	33934
PF3D7_0708600	Pf3D7_07_v3;Pf3D7_07_v3	389473;390336	390201;390365	-;-	759	5799
PF3D7_0708700	Pf3D7_07_v3	390832	392770	-	1939	7714
PF3D7_0708800	Pf3D7_07_v3	393813	399112	+	5300	17155
PF3D7_0708900	Pf3D7_07_v3	398963	400872	-	1910	4007
PF3D7_0709000	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	402385;403490;403938;404283;404569;404764;404936;405146;405334;405539;405825;406017;406241	403312;403758;404110;404415;404640;404839;405018;405196;405390;405631;405869;406071;406341	+;+;+;+;+;+;+;+;+;+;+;+;+	2136	5726
PF3D7_0709050	Pf3D7_07_v3	406820	407448	-	629	390
PF3D7_0709100	Pf3D7_07_v3	407818	412040	+	4223	44259
PF3D7_0709200	Pf3D7_07_v3	412092	413161	-	1070	4653
PF3D7_0709300	Pf3D7_07_v3	413560	422436	-	8877	56340
PF3D7_0709400	Pf3D7_07_v3;Pf3D7_07_v3	422674;425252	425098;427278	-;-	4452	19220
PF3D7_0709500	Pf3D7_07_v3;Pf3D7_07_v3	427513;429138	428921;429738	+;+	2010	2695
PF3D7_0709600	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	429537;430018;430249;430794	429900;430110;430617;433997	-;-;-;-	4030	24249
PF3D7_0709700	Pf3D7_07_v3	434748	436518	-	1771	6951
PF3D7_0709800	Pf3D7_07_v3;Pf3D7_07_v3	437183;437832	437654;438431	+;+	1072	1404
PF3D7_0709900	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	438115;439866;442671	439629;442514;445951	-;-;-	7445	58119
PF3D7_0710000	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	447209;453003;453492;454434;454756;454999;455950	452809;453234;454219;454578;454883;455727;458876	-;-;-;-;-;-;-	10490	35567
PF3D7_0710100	Pf3D7_07_v3	459688	461959	+	2272	3823
PF3D7_0710200	Pf3D7_07_v3	462183	472293	+	10111	31716
PF3D7_0710300	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	472306;472768;473072;473456	472680;472936;473248;474069	-;-;-;-	1335	3983
PF3D7_0710400	Pf3D7_07_v3	474350	475968	+	1619	3865
PF3D7_0710500	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	475796;476340;476577;476877;477307	476192;476426;476705;477105;477592	-;-;-;-;-	1128	3584
PF3D7_0710600	Pf3D7_07_v3;Pf3D7_07_v3	478345;478980	478761;479945	-;-	1383	4492
PF3D7_0710700	Pf3D7_07_v3	480710	482347	-	1638	3642
PF3D7_0710800	Pf3D7_07_v3	482351	484169	-	1819	4787
PF3D7_0710900	Pf3D7_07_v3	484253	486321	+	2069	6080
PF3D7_0711000	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	486497;487261;487281	487006;487279;491719	-;-;-	4968	29959
PF3D7_0711100	Pf3D7_07_v3	491933	494421	-	2489	3600
PF3D7_0711200	Pf3D7_07_v3	494948	498596	+	3649	7064
PF3D7_0711300	Pf3D7_07_v3	499135	500245	+	1111	2533
PF3D7_0711400	Pf3D7_07_v3	500019	503352	-	3334	19189
PF3D7_0711500	Pf3D7_07_v3	504540	507864	+	3325	13631
PF3D7_0711600	Pf3D7_07_v3	508474	508608	+	135	15480
PF3D7_0711700	Pf3D7_07_v3;Pf3D7_07_v3	511950;514173	513344;519425	-;-	6648	202451
PF3D7_0711800	Pf3D7_07_v3	523147	523281	+	135	10291
PF3D7_0711900	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	525063;525115;526252	525113;526068;526320	-;-;-	1074	57413
PF3D7_0712000	Pf3D7_07_v3;Pf3D7_07_v3	527338;529654	528687;535131	-;-	6828	118584
PF3D7_0712100	Pf3D7_07_v3	538520	538654	+	135	1075
PF3D7_0712200	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	540343;541222;541473	541220;541291;541541	-;-;-	1017	18453
PF3D7_0712300	Pf3D7_07_v3;Pf3D7_07_v3	542906;545154	544342;550520	-;-	6804	167409
PF3D7_0712400	Pf3D7_07_v3;Pf3D7_07_v3	552158;554132	553405;559078	-;-	6195	186720
PF3D7_0712500	Pf3D7_07_v3;Pf3D7_07_v3	562906;564089	563970;564160	-;-	1137	11888
PF3D7_0712600	Pf3D7_07_v3;Pf3D7_07_v3	566726;569014	568078;574308	-;-	6648	104015
PF3D7_0712700	Pf3D7_07_v3	577945	578079	+	135	8417
PF3D7_0712800	Pf3D7_07_v3;Pf3D7_07_v3	581386;583641	582822;588923	-;-	6720	216341
PF3D7_0712900	Pf3D7_07_v3;Pf3D7_07_v3	590326;592388	591558;597733	-;-	6579	319291
PF3D7_0713000	Pf3D7_07_v3;Pf3D7_07_v3	602141;602410	602209;603381	+;+	1041	14089
PF3D7_0713100	Pf3D7_07_v3;Pf3D7_07_v3	605369;605814	605721;606780	+;+	1320	4665
PF3D7_0713200	Pf3D7_07_v3	606547	608612	-	2066	5002
PF3D7_0713300	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	609297;609538;610319	609536;610317;610522	+;+;+	1224	10781
PF3D7_0713400	Pf3D7_07_v3;Pf3D7_07_v3	612059;612770	612560;613810	+;+	1543	3933
PF3D7_0713500	Pf3D7_07_v3	613821	617804	+	3984	9475
PF3D7_0713600	Pf3D7_07_v3;Pf3D7_07_v3	617889;620182	620000;621078	+;+	3009	9296
PF3D7_0713700	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	621090;621709;621951;622311;622486;622659;622791;622967;623442	621594;621836;621996;622348;622561;622703;622820;623021;623717	-;-;-;-;-;-;-;-;-	1199	2794
PF3D7_0713800	Pf3D7_07_v3;Pf3D7_07_v3	623870;624614	624414;625625	-;-	1557	4442
PF3D7_0713900	Pf3D7_07_v3	626391	641230	-	14840	66730
PF3D7_0714000	Pf3D7_07_v3	642200	643997	-	1798	6473
PF3D7_0714100	Pf3D7_07_v3	646719	648767	-	2049	8103
PF3D7_0714200	Pf3D7_07_v3	650460	655136	+	4677	22952
PF3D7_0714300	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	656565;657128;657396;657652;658216	656986;657206;657512;657851;662123	+;+;+;+;+	4726	14699
PF3D7_0714400	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	662068;662544;663301	662364;663126;664084	-;-;-	1664	6312
PF3D7_0714500	Pf3D7_07_v3	664252	667474	+	3223	7445
PF3D7_0714600	Pf3D7_07_v3	667505	670119	+	2615	21032
PF3D7_0714700	Pf3D7_07_v3	670795	670866	+	72	486
PF3D7_0714800	Pf3D7_07_v3	671656	671735	+	80	1530
PF3D7_0714900	Pf3D7_07_v3	672735	672816	-	82	469
PF3D7_0715000	Pf3D7_07_v3	673042	674476	+	1435	6161
PF3D7_0715100	Pf3D7_07_v3;Pf3D7_07_v3	674505;674962	674767;675251	-;-	553	2247
PF3D7_0715200	Pf3D7_07_v3	675522	682899	-	7378	75329
PF3D7_0715300	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	683130;684744;685029;685396	684566;684871;685130;686996	-;-;-;-	3268	10878
PF3D7_0715400	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	687618;688140;688293	687959;688174;689135	-;-;-	1220	3850
PF3D7_0715500	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	689176;689744;689993	689598;689838;690393	-;-;-	919	2650
PF3D7_0715600	Pf3D7_07_v3	690902	693820	+	2919	15873
PF3D7_0715700	Pf3D7_07_v3	694095	695200	+	1106	2209
PF3D7_0715800	Pf3D7_07_v3	695091	697180	-	2090	6579
PF3D7_0715900	Pf3D7_07_v3;Pf3D7_07_v3	697965;698995	698697;701574	+;+	3313	12892
PF3D7_0716000	Pf3D7_07_v3	702601	706721	+	4121	16721
PF3D7_0716100	Pf3D7_07_v3	706991	711199	-	4209	23676
PF3D7_0716200	Pf3D7_07_v3	711820	715046	+	3227	15791
PF3D7_0716300	Pf3D7_07_v3;Pf3D7_07_v3	716275;718833	718713;719340	+;+	2947	7344
PF3D7_0716400	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	719353;719891;720191;720365;720508;720630;720747;720902;721036;721252;721414	719709;720064;720249;720403;720524;720670;720806;720937;721127;721323;721623	+;+;+;+;+;+;+;+;+;+;+	1157	4206
PF3D7_0716500	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	721717;721975;722696;722962;723204;723504;723722;724033;724317;724548	721742;722192;722838;723077;723347;723597;723928;724157;724416;725068	+;+;+;+;+;+;+;+;+;+	1694	6033
PF3D7_0716600	Pf3D7_07_v3;Pf3D7_07_v3	725093;725870	725586;727476	+;+	2101	5559
PF3D7_0716700	Pf3D7_07_v3	728081	731148	+	3068	15076
PF3D7_0716800	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	731974;733143;733407	732917;733188;734370	-;-;-	1954	8276
PF3D7_0716900	Pf3D7_07_v3	734609	737460	+	2852	11837
PF3D7_0717000	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	737988;738859;739191;739376;739511;739666;739793;740065;740256;740443;740606;740860;740987;741138	738580;739020;739240;739425;739556;739702;739849;740151;740312;740475;740737;740913;741043;741576	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1854	3969
PF3D7_0717100	Pf3D7_07_v3;Pf3D7_07_v3	741609;744854	744700;744981	+;+	3220	18033
PF3D7_0717200	Pf3D7_07_v3;Pf3D7_07_v3	745040;745541	745363;747459	-;-	2243	18333
PF3D7_0717300	Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3;Pf3D7_07_v3	747860;749644;750141;750614	749475;749878;750512;751189	+;+;+;+	2799	5511
PF3D7_0717400	Pf3D7_07_v3	751584	755027	+	3444	20173
PF3D7_0717500	Pf3D7_07_v3;Pf3D7_07_v3	755098;756906	756558;758456	+;+	3012	10972
